2026-07-27 14:09:33,851 [INFO] Démarrage de la collecte Vigie TBM (intervalle: 60s)
2026-07-27 17:20:34,685 [INFO] OK - 1378 entités, 42470 observations mises à jour (feed ts=1785165624)
2026-07-27 17:21:34,588 [INFO] OK - 1381 entités, 42412 observations mises à jour (feed ts=1785165684)
2026-07-27 17:22:34,626 [INFO] OK - 1377 entités, 42250 observations mises à jour (feed ts=1785165744)
2026-07-27 17:23:34,604 [INFO] OK - 1372 entités, 42093 observations mises à jour (feed ts=1785165804)
2026-07-27 17:24:34,645 [INFO] OK - 1367 entités, 42006 observations mises à jour (feed ts=1785165864)
2026-07-27 17:25:34,627 [INFO] OK - 1366 entités, 41986 observations mises à jour (feed ts=1785165924)
2026-07-27 17:26:34,587 [INFO] OK - 1360 entités, 41847 observations mises à jour (feed ts=1785165984)
2026-07-27 17:27:34,537 [INFO] OK - 1353 entités, 41629 observations mises à jour (feed ts=1785166044)
2026-07-27 17:28:34,572 [INFO] OK - 1351 entités, 41640 observations mises à jour (feed ts=1785166104)
2026-07-27 17:29:34,637 [INFO] OK - 1340 entités, 41482 observations mises à jour (feed ts=1785166164)
2026-07-27 17:30:34,617 [INFO] OK - 1341 entités, 41480 observations mises à jour (feed ts=1785166224)
2026-07-27 17:31:34,575 [INFO] OK - 1335 entités, 41259 observations mises à jour (feed ts=1785166284)
2026-07-27 17:32:34,576 [INFO] OK - 1327 entités, 41100 observations mises à jour (feed ts=1785166344)
2026-07-27 17:33:34,586 [INFO] OK - 1329 entités, 41235 observations mises à jour (feed ts=1785166404)
2026-07-27 17:34:35,013 [INFO] OK - 1328 entités, 41321 observations mises à jour (feed ts=1785166464)
2026-07-27 17:35:34,632 [INFO] OK - 1329 entités, 41271 observations mises à jour (feed ts=1785166524)
2026-07-27 17:36:34,593 [INFO] OK - 1329 entités, 41278 observations mises à jour (feed ts=1785166584)
2026-07-27 17:37:34,673 [INFO] OK - 1326 entités, 41252 observations mises à jour (feed ts=1785166644)
2026-07-27 17:38:34,559 [INFO] OK - 1325 entités, 41279 observations mises à jour (feed ts=1785166704)
2026-07-27 17:39:34,607 [INFO] OK - 1324 entités, 41325 observations mises à jour (feed ts=1785166764)
2026-07-27 17:40:34,572 [INFO] OK - 1320 entités, 41185 observations mises à jour (feed ts=1785166824)
2026-07-27 17:41:34,563 [INFO] OK - 1319 entités, 41231 observations mises à jour (feed ts=1785166884)
2026-07-27 17:42:34,607 [INFO] OK - 1313 entités, 41036 observations mises à jour (feed ts=1785166944)
2026-07-27 17:43:34,554 [INFO] OK - 1309 entités, 40870 observations mises à jour (feed ts=1785167004)
2026-07-27 17:44:34,521 [INFO] OK - 1306 entités, 40823 observations mises à jour (feed ts=1785167064)
2026-07-27 17:45:34,533 [INFO] OK - 1302 entités, 40571 observations mises à jour (feed ts=1785167124)
2026-07-27 17:46:34,522 [INFO] OK - 1303 entités, 40570 observations mises à jour (feed ts=1785167184)
2026-07-27 17:47:34,532 [INFO] OK - 1303 entités, 40559 observations mises à jour (feed ts=1785167244)
2026-07-27 17:48:34,555 [INFO] OK - 1297 entités, 40456 observations mises à jour (feed ts=1785167304)
2026-07-27 17:49:34,529 [INFO] OK - 1290 entités, 40324 observations mises à jour (feed ts=1785167364)
2026-07-27 17:50:34,629 [INFO] OK - 1296 entités, 40457 observations mises à jour (feed ts=1785167424)
2026-07-27 17:51:34,592 [INFO] OK - 1302 entités, 40635 observations mises à jour (feed ts=1785167484)
2026-07-27 17:52:34,681 [INFO] OK - 1298 entités, 40538 observations mises à jour (feed ts=1785167544)
2026-07-27 17:53:34,589 [INFO] OK - 1284 entités, 40130 observations mises à jour (feed ts=1785167604)
2026-07-27 17:54:34,727 [INFO] OK - 1286 entités, 40254 observations mises à jour (feed ts=1785167664)
2026-07-27 17:55:34,603 [INFO] OK - 1278 entités, 40150 observations mises à jour (feed ts=1785167724)
2026-07-27 17:56:34,712 [INFO] OK - 1276 entités, 40067 observations mises à jour (feed ts=1785167784)
2026-07-27 17:57:34,557 [INFO] OK - 1276 entités, 40058 observations mises à jour (feed ts=1785167844)
2026-07-27 17:58:34,596 [INFO] OK - 1274 entités, 40018 observations mises à jour (feed ts=1785167904)
2026-07-27 17:59:34,624 [INFO] OK - 1267 entités, 39730 observations mises à jour (feed ts=1785167964)
2026-07-27 18:00:34,630 [INFO] OK - 1263 entités, 39627 observations mises à jour (feed ts=1785168024)
2026-07-27 18:01:34,659 [INFO] OK - 1253 entités, 39323 observations mises à jour (feed ts=1785168084)
2026-07-27 18:02:04,810 [INFO] Démarrage de la collecte Vigie TBM (intervalle: 60s)
2026-07-27 18:02:05,531 [INFO] OK - 1249 entités, 39167 observations mises à jour (feed ts=1785168124)
2026-07-27 18:02:34,604 [INFO] OK - 1247 entités, 39130 observations mises à jour (feed ts=1785168144)
2026-07-27 18:03:05,519 [INFO] OK - 1247 entités, 39089 observations mises à jour (feed ts=1785168184)
2026-07-27 18:03:34,593 [INFO] OK - 1246 entités, 39038 observations mises à jour (feed ts=1785168204)
2026-07-27 18:04:05,488 [INFO] OK - 1241 entités, 38912 observations mises à jour (feed ts=1785168244)
2026-07-27 18:04:55,135 [INFO] Démarrage de la collecte Vigie TBM (intervalle: 60s)
2026-07-27 18:04:55,868 [INFO] OK - 1241 entités, 38977 observations mises à jour (feed ts=1785168284)
2026-07-27 18:05:55,836 [INFO] OK - 1243 entités, 39000 observations mises à jour (feed ts=1785168344)
2026-07-27 18:06:55,825 [INFO] OK - 1248 entités, 39190 observations mises à jour (feed ts=1785168404)
2026-07-27 18:07:55,823 [INFO] OK - 1241 entités, 38963 observations mises à jour (feed ts=1785168464)
2026-07-27 18:08:55,869 [INFO] OK - 1234 entités, 38815 observations mises à jour (feed ts=1785168524)
2026-07-27 18:09:55,798 [INFO] OK - 1230 entités, 38759 observations mises à jour (feed ts=1785168584)
2026-07-27 18:10:55,801 [INFO] OK - 1231 entités, 38685 observations mises à jour (feed ts=1785168644)
2026-07-27 18:11:55,959 [INFO] OK - 1229 entités, 38612 observations mises à jour (feed ts=1785168704)
2026-07-27 18:12:55,768 [INFO] OK - 1227 entités, 38557 observations mises à jour (feed ts=1785168764)
2026-07-27 18:13:55,782 [INFO] OK - 1222 entités, 38376 observations mises à jour (feed ts=1785168824)
2026-07-27 18:14:55,786 [INFO] OK - 1220 entités, 38346 observations mises à jour (feed ts=1785168884)
2026-07-27 18:15:55,839 [INFO] OK - 1221 entités, 38244 observations mises à jour (feed ts=1785168944)
2026-07-27 18:16:55,848 [INFO] OK - 1217 entités, 38128 observations mises à jour (feed ts=1785169004)
2026-07-27 18:17:55,839 [INFO] OK - 1214 entités, 38027 observations mises à jour (feed ts=1785169064)
2026-07-27 18:18:55,844 [INFO] OK - 1211 entités, 37950 observations mises à jour (feed ts=1785169124)
2026-07-27 18:19:55,855 [INFO] OK - 1211 entités, 38013 observations mises à jour (feed ts=1785169184)
2026-07-27 18:20:55,971 [INFO] OK - 1223 entités, 38054 observations mises à jour (feed ts=1785169244)
2026-07-27 18:21:55,843 [INFO] OK - 1219 entités, 38004 observations mises à jour (feed ts=1785169304)
2026-07-27 18:22:55,825 [INFO] OK - 1227 entités, 38505 observations mises à jour (feed ts=1785169364)
2026-07-27 18:23:55,837 [INFO] OK - 1218 entités, 38328 observations mises à jour (feed ts=1785169424)
